Institute Name,Program Name,Seat Capacity,Female Supernumerary,Total
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",105,0,105
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",82,0,82
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",75,0,75
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",54,0,54
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",20,0,20
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",20,0,20
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",105,0,105
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",35,0,35
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",66,6,72
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",113,11,124
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",130,16,146
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",37,9,46
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",170,28,198
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",90,22,112
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",52,6,58
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",169,33,202
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",102,3,105
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",36,4,40
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",41,6,47
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",35,0,35
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",40,0,40
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",18,0,18
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",25,3,28
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",80,9,89
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",46,4,50
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",30,0,30
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",74,6,80
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",67,3,70
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",30,0,30
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",30,0,30
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",30,0,30
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",30,0,30
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",54,6,60
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",30,0,30
Indian Institute of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",50,0,50
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",30,0,30
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",60,0,60
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",75,0,75
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",110,0,110
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",99,0,99
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",110,0,110
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",54,0,54
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",63,0,63
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",10,0,10
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",89,0,89
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",85,0,85
Indian Institute of Technology Delhi,"Design (4 Years, Bachelor of Technology)",20,0,20
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",10,0,10
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",83,0,83
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",85,0,85
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",10,0,10
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",40,0,40
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",40,0,40
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",40,0,40
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",40,0,40
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",46,0,46
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",37,0,37
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",33,0,33
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",40,0,40
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",50,3,53
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",75,7,82
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",75,10,85
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",20,0,20
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",40,0,40
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",75,12,87
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",50,3,53
Indian Institute of Technology Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",20,0,20
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",65,5,70
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",88,5,93
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",66,4,70
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",100,15,115
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",104,15,119
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",118,22,140
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",96,17,113
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",127,23,150
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",41,3,44
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",55,11,66
