Institute Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference␍
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,0.0,0.0,0.0,550.0,110.0,660.0,660.0␍
"Indian Institute of Carpet Technology, Bhadohi",0.0,0.0,0.0,30.0,6.0,36.0,36.0␍
"Indian Institute of Engineering Science and Technology, Shibpur",0.0,0.0,0.0,810.0,0.0,810.0,810.0␍
"Indian Institute of Handloom Technology(IIHT), Varanasi",0.0,0.0,0.0,33.0,0.0,33.0,33.0␍
"Indian Institute of Handloom Technology, Salem",0.0,0.0,0.0,30.0,0.0,30.0,30.0␍
Indian Institute of Information Technology (IIIT) Nagpur,0.0,0.0,0.0,648.0,0.0,648.0,648.0␍
Indian Institute of Information Technology (IIIT) Pune,0.0,0.0,0.0,445.0,0.0,445.0,445.0␍
Indian Institute of Information Technology (IIIT) Ranchi,0.0,0.0,0.0,320.0,0.0,320.0,320.0␍
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",0.0,0.0,0.0,365.0,73.0,438.0,438.0␍
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",0.0,0.0,0.0,264.0,66.0,330.0,330.0
Indian Institute of Information Technology Bhagalpur,0.0,0.0,0.0,312.0,32.0,344.0,344.0
Indian Institute of Information Technology Bhopal,0.0,0.0,0.0,705.0,0.0,705.0,705.0
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",0.0,0.0,0.0,310.0,21.0,331.0,331.0
Indian Institute of Information Technology Guwahati,0.0,0.0,0.0,213.0,41.0,254.0,254.0
Indian Institute of Information Technology Lucknow,0.0,0.0,0.0,240.0,0.0,240.0,240.0
Indian Institute of Information Technology Surat,0.0,0.0,0.0,235.0,47.0,282.0,282.0
Indian Institute of Information Technology Tiruchirappalli,0.0,0.0,0.0,225.0,0.0,225.0,225.0
Indian Institute of Information Technology(IIIT) Dharwad,0.0,0.0,0.0,405.0,81.0,486.0,486.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",0.0,0.0,0.0,218.0,19.0,237.0,237.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",0.0,0.0,0.0,240.0,0.0,240.0,240.0
Indian Institute of Information Technology(IIIT) Kottayam,0.0,0.0,0.0,458.0,98.0,556.0,556.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",0.0,0.0,0.0,285.0,9.0,294.0,294.0
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",0.0,0.0,0.0,333.0,82.0,415.0,415.0
"Indian Institute of Information Technology, Agartala",0.0,0.0,0.0,80.0,20.0,100.0,100.0
"Indian Institute of Information Technology, Allahabad",0.0,0.0,0.0,439.0,0.0,439.0,439.0
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",0.0,0.0,0.0,482.0,111.0,593.0,593.0
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",0.0,0.0,0.0,185.0,43.0,228.0,228.0
"Indian institute of information technology, Raichur, Karnataka",0.0,0.0,0.0,220.0,0.0,220.0,220.0
"International Institute of Information Technology, Bhubaneswar",0.0,0.0,0.0,223.0,0.0,223.0,223.0
"International Institute of Information Technology, Naya Raipur",0.0,0.0,0.0,95.0,24.0,119.0,119.0
