Institute Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
"National Institute of Advanced Manufacturing Technology, Ranchi",0.0,0.0,0.0,285.0,6.0,291.0,291.0
"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",0.0,0.0,0.0,60.0,0.0,60.0,60.0
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",0.0,0.0,0.0,120.0,0.0,120.0,120.0
"National Institute of Electronics and Information Technology, Gorakhpur (UP)",0.0,0.0,0.0,120.0,0.0,120.0,120.0
"National Institute of Electronics and Information Technology, Patna (Bihar)",0.0,0.0,0.0,60.0,0.0,60.0,60.0
"National Institute of Electronics and Information Technology, Ropar (Punjab)",0.0,0.0,0.0,60.0,0.0,60.0,60.0
"National Institute of Food Technology Entrepreneurship and Management, Kundli",0.0,0.0,0.0,100.0,0.0,100.0,100.0
"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",0.0,0.0,0.0,90.0,0.0,90.0,90.0
National Institute of Technology,22.0,0.0,22.0,0.0,0.0,0.0,-22.0
National Institute of Technology Agartala,875.0,209.0,1084.0,942.0,218.0,1160.0,76.0
National Institute of Technology Arunachal Pradesh,160.0,0.0,160.0,230.0,0.0,230.0,70.0
National Institute of Technology Calicut,1196.0,44.0,1240.0,1238.0,40.0,1278.0,38.0
National Institute of Technology Delhi,374.0,0.0,374.0,374.0,0.0,374.0,0.0
National Institute of Technology Durgapur,969.0,0.0,969.0,969.0,0.0,969.0,0.0
National Institute of Technology Goa,224.0,0.0,224.0,224.0,0.0,224.0,0.0
National Institute of Technology Hamirpur,944.0,0.0,944.0,944.0,0.0,944.0,0.0
"National Institute of Technology Karnataka, Surathkal",956.0,2.0,958.0,956.0,5.0,961.0,3.0
National Institute of Technology Meghalaya,165.0,0.0,165.0,165.0,0.0,165.0,0.0
National Institute of Technology Nagaland,198.0,2.0,200.0,198.0,3.0,201.0,1.0
National Institute of Technology Patna,941.0,0.0,941.0,980.0,1.0,981.0,40.0
National Institute of Technology Puducherry,253.0,0.0,253.0,275.0,0.0,275.0,22.0
National Institute of Technology Raipur,1158.0,1.0,1159.0,1158.0,1.0,1159.0,0.0
National Institute of Technology Sikkim,190.0,0.0,190.0,190.0,0.0,190.0,0.0
"National Institute of Technology, Andhra Pradesh",0.0,0.0,0.0,480.0,0.0,480.0,480.0
"National Institute of Technology, Jamshedpur",751.0,0.0,751.0,751.0,0.0,751.0,0.0
"National Institute of Technology, Kurukshetra",1147.0,0.0,1147.0,1147.0,0.0,1147.0,0.0
"National Institute of Technology, Manipur",226.0,0.0,226.0,226.0,0.0,226.0,0.0
"National Institute of Technology, Mizoram",177.0,13.0,190.0,177.0,13.0,190.0,0.0
"National Institute of Technology, Rourkela",1058.0,7.0,1065.0,1058.0,2.0,1060.0,-5.0
"National Institute of Technology, Silchar",903.0,0.0,903.0,903.0,0.0,903.0,0.0
"National Institute of Technology, Srinagar",860.0,39.0,899.0,860.0,39.0,899.0,0.0
"National Institute of Technology, Tiruchirappalli",1038.0,0.0,1038.0,1038.0,0.0,1038.0,0.0
"National Institute of Technology, Uttarakhand",160.0,40.0,200.0,200.0,0.0,200.0,0.0
"National Institute of Technology, Warangal",727.0,0.0,727.0,1049.0,0.0,1049.0,322.0
,,,,,,,

