Institute Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
"Assam University, Silchar",0.0,0.0,0.0,180.0,0.0,180.0,180.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,0.0,0.0,0.0,360.0,0.0,360.0,360.0
"Birla Institute of Technology, Deoghar Off-Campus",0.0,0.0,0.0,281.0,24.0,305.0,305.0
"Birla Institute of Technology, Mesra, Ranchi",0.0,0.0,0.0,1207.0,105.0,1312.0,1312.0
"Birla Institute of Technology, Patna Off-Campus",0.0,0.0,0.0,424.0,39.0,463.0,463.0
CU Jharkhand,0.0,0.0,0.0,84.0,0.0,84.0,84.0
Central University of Haryana,0.0,0.0,0.0,210.0,0.0,210.0,210.0
Central University of Jammu,0.0,0.0,0.0,300.0,0.0,300.0,300.0
"Central University of Rajasthan, Rajasthan",0.0,0.0,0.0,90.0,0.0,90.0,90.0
"Central institute of Technology Kokrajar, Assam",0.0,0.0,0.0,20.0,4.0,24.0,24.0
"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",0.0,0.0,0.0,120.0,0.0,120.0,120.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",1103.0,3.0,1106.0,1103.0,0.0,1103.0,-3.0
"Gati Shakti Vishwavidyalaya, Vadodara",0.0,0.0,0.0,340.0,26.0,366.0,366.0
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",0.0,0.0,0.0,187.0,14.0,201.0,201.0
"Gurukula Kangri Vishwavidyalaya, Haridwar",0.0,0.0,0.0,545.0,0.0,545.0,545.0
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,0.0,0.0,0.0,550.0,110.0,660.0,660.0
"Indian Institute of Carpet Technology, Bhadohi",0.0,0.0,0.0,30.0,6.0,36.0,36.0
"Indian Institute of Engineering Science and Technology, Shibpur",0.0,0.0,0.0,810.0,0.0,810.0,810.0
"Indian Institute of Handloom Technology(IIHT), Varanasi",0.0,0.0,0.0,33.0,0.0,33.0,33.0
"Indian Institute of Handloom Technology, Salem",0.0,0.0,0.0,30.0,0.0,30.0,30.0
Indian Institute of Information Technology (IIIT) Nagpur,0.0,0.0,0.0,648.0,0.0,648.0,648.0
Indian Institute of Information Technology (IIIT) Pune,0.0,0.0,0.0,445.0,0.0,445.0,445.0
Indian Institute of Information Technology (IIIT) Ranchi,0.0,0.0,0.0,320.0,0.0,320.0,320.0
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",0.0,0.0,0.0,365.0,73.0,438.0,438.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",0.0,0.0,0.0,264.0,66.0,330.0,330.0
Indian Institute of Information Technology Bhagalpur,0.0,0.0,0.0,312.0,32.0,344.0,344.0
Indian Institute of Information Technology Bhopal,0.0,0.0,0.0,705.0,0.0,705.0,705.0
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",0.0,0.0,0.0,310.0,21.0,331.0,331.0
Indian Institute of Information Technology Guwahati,0.0,0.0,0.0,213.0,41.0,254.0,254.0
Indian Institute of Information Technology Lucknow,0.0,0.0,0.0,240.0,0.0,240.0,240.0
Indian Institute of Information Technology Surat,0.0,0.0,0.0,235.0,47.0,282.0,282.0
Indian Institute of Information Technology Tiruchirappalli,0.0,0.0,0.0,225.0,0.0,225.0,225.0
Indian Institute of Information Technology(IIIT) Dharwad,0.0,0.0,0.0,405.0,81.0,486.0,486.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",0.0,0.0,0.0,218.0,19.0,237.0,237.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",0.0,0.0,0.0,240.0,0.0,240.0,240.0
Indian Institute of Information Technology(IIIT) Kottayam,0.0,0.0,0.0,458.0,98.0,556.0,556.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",0.0,0.0,0.0,285.0,9.0,294.0,294.0
