Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
"National Institute of Advanced Manufacturing Technology, Ranchi","Computer Engineering (4 Years, Bachelor of Technology)",0,0,0,56,4,60,60
"National Institute of Advanced Manufacturing Technology, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",0,0,0,77,1,78,78
"National Institute of Advanced Manufacturing Technology, Ranchi","Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",0,0,0,82,1,83,83
"National Institute of Advanced Manufacturing Technology, Ranchi","Production and Industrial Engineering (4 Years, Bachelor of Technology)",0,0,0,70,0,70,70
"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)","Computer Science and Engineering (Internet of Things, Cyber Security including Block Chain Technology ) (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)","Electronic Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"National Institute of Electronics and Information Technology, Gorakhpur (UP)","B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"National Institute of Electronics and Information Technology, Gorakhpur (UP)","Computer Science and Engineering with minor in AI and ML (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"National Institute of Electronics and Information Technology, Patna (Bihar)","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"National Institute of Electronics and Information Technology, Ropar (Punjab)","B.Tech in CSE (AI and ML) (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"National Institute of Food Technology Entrepreneurship and Management, Kundli","Food Technology and Management (4 Years, Bachelor of Technology)",0,0,0,100,0,100,100
"National Institute of Food Technology Entrepreneurship and Management, Thanjavur","Food Technology (4 Years, Bachelor of Technology)",0,0,0,90,0,90,90
National Institute of Technology,"Civil Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",22,0,22,0,0,0,-22
National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",19,6,25,23,7,30,5
National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology) TRIPURA",19,6,25,23,7,30,5
National Institute of Technology Agartala,"Chemical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",30,8,38,36,9,45,7
National Institute of Technology Agartala,"Chemical Engineering (4 Years, Bachelor of Technology) TRIPURA",29,8,37,37,8,45,8
National Institute of Technology Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13,0,13,20,0,20,7
National Institute of Technology Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12,0,12,20,0,20,8
National Institute of Technology Agartala,"Civil Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",46,13,59,47,13,60,1
National Institute of Technology Agartala,"Civil Engineering (4 Years, Bachelor of Technology) TRIPURA",46,13,59,47,13,60,1
National Institute of Technology Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than TRIPURA",13,0,13,13,0,13,0
National Institute of Technology Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree)) TRIPURA",0,0,0,12,0,12,12
National Institute of Technology Agartala,"Computational Mathematics (5 Years, Bachelor of Technology) TRIPURA",12,0,12,0,0,0,-12
National Institute of Technology Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",58,17,75,71,19,90,15
National Institute of Technology Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology) TRIPURA",59,16,75,73,17,90,15
National Institute of Technology Agartala,"Electrical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",50,13,63,47,13,60,-3
National Institute of Technology Agartala,"Electrical Engineering (4 Years, Bachelor of Technology) TRIPURA",48,14,62,46,14,60,-2
National Institute of Technology Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",51,13,64,47,13,60,-4
National Institute of Technology Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) TRIPURA",49,15,64,45,15,60,-4
National Institute of Technology Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",30,8,38,36,9,45,7
