Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",0,0,0,10,0,10,10
"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,10,0,10,10
"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",0,0,0,10,0,10,10
"Aeronautical Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"Aerospace Engineering (4 Years, Bachelor of Technology)",245,30,275,325,26,351,76
"Aerospace Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",12,0,12,12,0,12,0
"Aerospace Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12,0,12,12,0,12,0
"Aerospace Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",0,0,0,26,0,26,26
"Aerospace Engineering (4 Years, Bachelor of Technology) WEST BENGAL",0,0,0,25,0,25,25
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10,0,10,10,0,10,0
"Agricultural Engineering (4 Years, Bachelor of Technology)",0,0,0,62,0,62,62
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",88,5,93,88,5,93,0
"Animation and VFX (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"Applied Geology (4 Years, Bachelor of Science)",52,0,52,52,0,52,0
"Applied Geology (5 Years, Integrated Master of Technology)",19,2,21,19,2,21,0
"Applied Geophysics (4 Years, Bachelor of Science)",0,0,0,25,3,28,28
"Applied Geophysics (5 Years, Integrated Master of Technology)",19,2,21,19,2,21,0
"Architecture (5 Years, Bachelor of Architecture)",93,3,96,472,3,475,379
"Architecture (5 Years, Bachelor of Architecture) BIHAR",23,0,23,20,0,20,-3
"Architecture (5 Years, Bachelor of Architecture) CHHATTISGARH",20,0,20,20,0,20,0
"Architecture (5 Years, Bachelor of Architecture) HARYANA",0,0,0,20,0,20,20
"Architecture (5 Years, Bachelor of Architecture) HIMACHAL PRADESH",29,0,29,29,0,29,0
"Architecture (5 Years, Bachelor of Architecture) KERALA",29,0,29,30,0,30,1
"Architecture (5 Years, Bachelor of Architecture) MADHYA PRADESH",40,10,50,40,10,50,0
"Architecture (5 Years, Bachelor of Architecture) MAHARASHTRA",0,0,0,39,0,39,39
"Architecture (5 Years, Bachelor of Architecture) ODISHA",10,0,10,10,0,10,0
"Architecture (5 Years, Bachelor of Architecture) Other than BIHAR",22,0,22,20,0,20,-2
"Architecture (5 Years, Bachelor of Architecture) Other than CHHATTISGARH",20,0,20,20,0,20,0
"Architecture (5 Years, Bachelor of Architecture) Other than HARYANA",0,0,0,20,0,20,20
"Architecture (5 Years, Bachelor of Architecture) Other than HIMACHAL PRADESH",29,0,29,29,0,29,0
"Architecture (5 Years, Bachelor of Architecture) Other than KERALA",30,0,30,29,0,29,-1
"Architecture (5 Years, Bachelor of Architecture) Other than MADHYA PRADESH",40,10,50,40,10,50,0
"Architecture (5 Years, Bachelor of Architecture) Other than MAHARASHTRA",0,0,0,39,0,39,39
"Architecture (5 Years, Bachelor of Architecture) Other than ODISHA",10,0,10,10,0,10,0
"Architecture (5 Years, Bachelor of Architecture) Other than RAJASTHAN",39,0,39,39,0,39,0
"Architecture (5 Years, Bachelor of Architecture) Other than TAMIL NADU",28,0,28,28,0,28,0
"Architecture (5 Years, Bachelor of Architecture) Other than WEST BENGAL",0,0,0,12,0,12,12
"Architecture (5 Years, Bachelor of Architecture) RAJASTHAN",38,0,38,38,0,38,0
"Architecture (5 Years, Bachelor of Architecture) TAMIL NADU",29,0,29,29,0,29,0
"Architecture (5 Years, Bachelor of Architecture) WEST BENGAL",0,0,0,12,0,12,12
"Architecture and Planning (5 Years, Bachelor of Architecture) HARYANA",20,0,20,0,0,0,-20
"Architecture and Planning (5 Years, Bachelor of Architecture) Other than HARYANA",20,0,20,0,0,0,-20
"Artificial Intelligence (4 Years, Bachelor of Technology)",83,12,95,212,38,250,155
"Artificial Intelligence (4 Years, Bachelor of Technology) GUJARAT",0,0,0,60,0,60,60
"Artificial Intelligence (4 Years, Bachelor of Technology) KARNATAKA",20,0,20,20,0,20,0
"Artificial Intelligence (4 Years, Bachelor of Technology) ODISHA",23,0,23,23,0,23,0
"Artificial Intelligence (4 Years, Bachelor of Technology) Other than GUJARAT",0,0,0,60,0,60,60
"Artificial Intelligence (4 Years, Bachelor of Technology) Other than KARNATAKA",20,0,20,20,0,20,0
"Artificial Intelligence (4 Years, Bachelor of Technology) Other than ODISHA",22,0,22,22,0,22,0
"Artificial Intelligence (5 Years, Integrated B. Tech. and M. Tech.) GUJARAT",0,0,0,30,0,30,30
"Artificial Intelligence (5 Years, Integrated B. Tech. and M. Tech.) Other than GUJARAT",0,0,0,30,0,30,30
"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",50,0,50,50,0,50,0
"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",19,1,20,127,13,140,120
"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",20,0,20,20,0,20,0
"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology) RAJASTHAN",20,0,20,20,0,20,0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",102,18,120,395,32,427,307
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) BIHAR",0,0,0,38,0,38,38
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",10,0,10,10,0,10,0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) HARYANA",30,0,30,30,0,30,0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) Other than BIHAR",0,0,0,37,0,37,37
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",10,0,10,10,0,10,0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) Other than HARYANA",30,0,30,30,0,30,0
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",0,0,0,134,12,146,146
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) HARYANA",30,0,30,30,0,30,0
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) Other than HARYANA",30,0,30,30,0,30,0
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) Other than SIKKIM",15,0,15,15,0,15,0
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) SIKKIM",15,0,15,15,0,15,0
"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10,10,0,10,0
"B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10,10,0,10,0
"B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10,10,0,10,0
"B. Tech. (ECE) - M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10,0,0,0,-10
"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",0,0,0,10,0,10,10
